ID,Length,Width,Height,Surface_Area,Volume,Source_X,Source_Y,Source_Z,Receiver_X,Receiver_Y,Receiver_Z
293,4.5,4.5,3,94.5,60.75,1.0,1.4,1.5,3.4,1.0,1.5
294,4.5,4.5,3,94.5,60.75,3.0,3.0,1.5,1.0,1.8,1.5
295,4.5,4.5,3.5,103.5,70.875,3.0,3.4,1.5,2.2,1.4,1.5
296,4.5,4.5,3.5,103.5,70.875,1.0,1.4,1.5,3.4,1.0,1.5
297,4.5,4.5,3.5,103.5,70.875,3.0,3.0,1.5,1.0,1.8,1.5
298,4.5,4.5,4,112.5,81.0,3.0,3.4,1.5,2.2,1.4,1.5
299,4.5,4.5,4,112.5,81.0,1.0,1.4,1.5,3.4,1.0,1.5
300,4.5,4.5,4,112.5,81.0,3.0,3.0,1.5,1.0,1.8,1.5
301,4.5,5,2.5,92.5,56.25,3.0,1.0,1.5,1.4,1.0,1.5
302,4.5,5,2.5,92.5,56.25,3.4,3.0,1.5,1.0,3.4,1.5
303,4.5,5,2.5,92.5,56.25,2.6,2.6,1.5,3.4,1.4,1.5
304,4.5,5,3,102.0,67.5,3.0,1.0,1.5,1.4,1.0,1.5
305,4.5,5,3,102.0,67.5,3.4,3.0,1.5,1.0,3.4,1.5
306,4.5,5,3,102.0,67.5,2.6,2.6,1.5,3.4,1.4,1.5
307,4.5,5,3.5,111.5,78.75,3.0,1.0,1.5,1.4,1.0,1.5
308,4.5,5,3.5,111.5,78.75,3.4,3.0,1.5,1.0,3.4,1.5
309,4.5,5,3.5,111.5,78.75,2.6,2.6,1.5,3.4,1.4,1.5
310,4.5,5,4,121.0,90.0,3.0,1.0,1.5,1.4,1.0,1.5
311,4.5,5,4,121.0,90.0,3.4,3.0,1.5,1.0,3.4,1.5
312,4.5,5,4,121.0,90.0,2.6,2.6,1.5,3.4,1.4,1.5
313,4.5,5.5,2.5,99.5,61.875,3.0,4.2,1.5,3.0,3.0,1.5
314,4.5,5.5,2.5,99.5,61.875,2.6,3.8,1.5,3.0,2.6,1.5
315,4.5,5.5,2.5,99.5,61.875,1.8,1.0,1.5,2.2,2.6,1.5
316,4.5,5.5,3,109.5,74.25,3.0,4.2,1.5,3.0,3.0,1.5
317,4.5,5.5,3,109.5,74.25,2.6,3.8,1.5,3.0,2.6,1.5
318,4.5,5.5,3,109.5,74.25,1.8,1.0,1.5,2.2,2.6,1.5
319,4.5,5.5,3.5,119.5,86.625,3.0,4.2,1.5,3.0,3.0,1.5
320,4.5,5.5,3.5,119.5,86.625,2.6,3.8,1.5,3.0,2.6,1.5
321,4.5,5.5,3.5,119.5,86.625,1.8,1.0,1.5,2.2,2.6,1.5
322,4.5,5.5,4,129.5,99.0,3.0,4.2,1.5,3.0,3.0,1.5
