filename,RT60_RT20,Corr_RT60_RT20,RT60_RT30,Corr_RT60_RT30
RIR_048_case3.wav,0.124,1.0,0.14,0.999
RIR_048_case4.wav,0.137,0.999,0.16,0.998
RIR_048_case5.wav,0.419,0.998,0.481,0.998
RIR_048_case6.wav,0.62,0.996,0.654,0.997
RIR_048_case7.wav,0.698,0.995,0.846,0.993
RIR_048_case8.wav,0.625,0.999,0.694,0.999
RIR_048_case9.wav,0.385,0.996,0.514,0.994
RIR_049_case0.wav,0.135,0.996,0.236,0.986
RIR_049_case1.wav,0.11,0.999,0.132,0.997
RIR_049_case2.wav,1.885,0.998,2.339,0.996
RIR_049_case3.wav,0.108,1.0,0.12,0.998
RIR_049_case4.wav,0.099,0.999,0.132,0.996
RIR_049_case5.wav,0.325,0.998,0.428,0.996
RIR_049_case6.wav,0.398,0.998,0.556,0.994
RIR_049_case7.wav,0.558,0.996,0.588,0.997
RIR_049_case8.wav,0.624,0.998,0.739,0.997
RIR_049_case9.wav,0.377,0.994,0.588,0.99
RIR_050_case0.wav,0.126,0.996,0.222,0.988
RIR_050_case1.wav,0.105,0.998,0.139,0.996
